Zip code,AGGRAVATED ASSAULT,ARSON,BURGLARY,DRUG OFFENSE,LARCENY-THEFT,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,ROBBERY,Grand Total,CRIME RATE (%)
85003,17,1,52,42,188,26,1,15,13,355,1.1
85004,22,1,31,21,232,27,2,12,20,368,1.2
85006,73,3,118,40,258,71,4,22,31,620,1.9
85007,47,2,81,92,195,51,5,14,32,519,1.6
85008,104,8,225,96,747,178,3,26,62,1449,4.5
85009,91,,220,143,534,202,2,20,66,1278,4
85012,11,,42,17,91,9,,4,6,180,0.6
85013,36,,122,49,350,53,,14,24,648,2
85014,29,1,126,51,330,45,1,16,16,615,1.9
85015,107,2,292,123,925,175,5,18,94,1741,5.5
85016,39,4,179,48,614,77,,16,35,1012,3.2
85017,106,4,195,171,534,172,2,27,84,1295,4.1
85018,36,,182,35,367,71,,6,20,717,2.2
85019,56,1,242,66,267,108,2,11,44,797,2.5
85020,41,3,140,25,359,69,2,9,16,664,2.1
85021,72,4,168,70,426,101,1,10,45,897,2.8
85022,44,4,132,36,480,106,,5,22,829,2.6
85023,55,2,120,132,660,69,,10,22,1070,3.4
85024,11,,56,12,104,26,,1,2,212,0.7
85027,27,2,137,59,480,83,,14,8,810,2.5
85028,10,,45,5,102,7,,2,5,176,0.6
85029,38,3,193,86,561,112,4,20,25,1042,3.3
85031,54,3,153,64,353,93,8,15,34,777,2.4
85032,50,2,150,61,628,74,1,10,32,1008,3.2
85033,84,3,232,63,344,158,5,23,50,962,3
85034,33,2,67,61,332,77,,11,30,613,1.9
85035,81,1,177,69,492,170,2,15,56,1063,3.3
85037,43,1,146,38,259,70,2,8,25,592,1.9
85040,68,3,204,54,382,114,1,9,48,883,2.8
85041,93,2,297,48,691,222,5,21,50,1429,4.5
85042,45,3,189,31,519,99,2,11,41,940,2.9
85043,72,2,188,77,464,145,4,17,40,1009,3.2
85044,12,3,59,14,290,32,,6,9,425,1.3
85045,,,7,2,8,,,1,,18,0.1
85048,7,3,53,8,109,8,,6,6,200,0.6
85050,4,1,52,10,162,17,,1,2,249,0.8
85051,79,7,270,122,654,149,2,21,66,1370,4.3
85053,29,2,89,39,248,51,,9,19,486,1.5
85054,8,,19,,90,6,,,2,125,0.4
85083,3,,30,1,63,3,,1,,101,0.3
85085,5,,35,10,198,9,,,1,258,0.8
85086,2,1,8,4,77,5,,,1,98,0.3
85087,,1,1,1,12,1,,,,16,0.1
85201,1,,1,,,,,,,2,0
85202,,,,,1,,,,,1,0
85203,,,,1,,,,,,1,0
85210,,,,,,,,1,,1,0
85213,,,,,1,,,,,1,0
85224,,,,,,,,1,,1,0
85225,,,,1,1,,,,,2,0
85251,,,2,,4,,,2,,8,0
85253,,,2,,8,2,,,,12,0
85254,16,1,56,13,241,20,,3,6,356,1.1
85255,,,1,3,7,,,,,11,0
85258,,,,,1,,,,,1,0
85260,,,,,,,,,1,1,0
85266,,,,,1,,,,,1,0
85268,,,,,1,,,,,1,0
85281,,,,1,,,,,,1,0
85282,,,,2,,,,,,2,0
85286,,,,1,,,,,,1,0
85296,,,,,1,,,,,1,0
85301,2,,,8,1,,,2,,13,0
85302,,,,1,,,,1,,2,0
85303,,,,1,1,,,,,2,0
85304,5,,11,3,45,7,5,2,1,79,0.2
85306,6,,16,1,55,13,,2,3,96,0.3
85307,1,,7,,17,4,,,1,30,0.1
85308,15,,50,15,124,24,,2,4,234,0.7
85310,2,,28,1,51,11,,1,,94,0.3
85323,,,,1,,,,1,,2,0
85331,2,,10,1,43,4,,3,,63,0.2
85339,32,1,146,8,340,69,2,10,20,628,2
85345,,,,,,1,,,,1,0
85353,23,1,71,5,159,38,,1,16,314,1
85363,,,,,,,,1,,1,0
85381,,,,1,,,,,,1,0
85382,,,,,1,1,,,,2,0
85392,1,,,,,,,,,1,0
85395,1,,,,,,,1,,2,0
Grand Total,1951,88,5925,2264,16283,3535,73,511,1256,31886,100
